regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
Centro-Oeste,MT,,51,,,,25/2/2020,9,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,26/2/2020,9,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,27/2/2020,9,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,28/2/2020,9,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,29/2/2020,9,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,1/3/2020,10,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,2/3/2020,10,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,3/3/2020,10,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,4/3/2020,10,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,5/3/2020,10,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,6/3/2020,10,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,7/3/2020,10,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,8/3/2020,11,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,9/3/2020,11,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,10/3/2020,11,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,11/3/2020,11,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,12/3/2020,11,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,13/3/2020,11,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,14/3/2020,11,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,15/3/2020,12,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,16/3/2020,12,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,17/3/2020,12,3484466,0,0,0,0,,,
Centro-Oeste,MT,,51,,,,18/3/2020,12,3484466,0,0,0,0,,,
